rank,prev_rank,name,league,off,def,spi
415,416,Milton Keynes Dons,English League One,0.98,1.54,32.61
416,441,Inter Miami CF,Major League Soccer,1.1,1.71,32.48
417,417,Hannover 96,German 2. Bundesliga,1.01,1.6,32.35
418,419,Mamelodi Sundowns,South African ABSA Premier League,0.93,1.49,32.28
419,420,Sunderland,English League One,1.01,1.6,32.23
420,421,Patronato,Argentina Primera Division,0.91,1.46,32.21
421,418,Vancouver Whitecaps,Major League Soccer,1.05,1.66,32.14
422,422,KV Oostende,Belgian Jupiler League,1.01,1.61,32.04
423,423,Ross County,Scottish Premiership,1.07,1.69,32.04
424,424,Jahn Regensburg,German 2. Bundesliga,1.1,1.73,31.97
425,425,Giresunspor,Turkish Turkcell Super Lig,0.97,1.56,31.95
426,426,SV Ried,Austrian T-Mobile Bundesliga,1.07,1.7,31.94
427,427,Volos NFC,Greek Super League,0.97,1.56,31.92
428,428,1. FC Nürnberg,German 2. Bundesliga,1.12,1.77,31.85
429,429,Cittadella,Italy Serie B,0.71,1.21,31.83
430,438,IFK Goteborg,Swedish Allsvenskan,0.97,1.58,31.76
431,430,Valerenga,Norwegian Tippeligaen,1.06,1.7,31.76
432,432,Jiangsu Suning FC,Chinese Super League,1.06,1.7,31.67
433,433,AGF Aarhus,Danish SAS-Ligaen,0.95,1.55,31.51
434,435,FC Sion,Swiss Raiffeisen Super League,1.16,1.86,31.26
435,436,Sarmiento,Argentina Primera Division,0.87,1.46,31.24
436,431,Toronto FC,Major League Soccer,1.21,1.92,31.23
437,399,DC United,Major League Soccer,1.19,1.89,31.22
438,437,Shandong Luneng,Chinese Super League,1.17,1.87,31.13
439,414,IFK Norrkoping,Swedish Allsvenskan,1.05,1.73,30.99
440,434,Houston Dynamo,Major League Soccer,1.09,1.8,30.57
441,450,Avispa Fukuoka,Japanese J League,0.77,1.36,30.56
442,442,Nimes,French Ligue 2,0.97,1.64,30.55
443,443,Motherwell,Scottish Premiership,1.01,1.69,30.55
444,445,Spal,Italy Serie B,0.95,1.63,30.18
445,446,Oxford United,English League One,1.17,1.94,29.96
446,447,Como,Italy Serie B,1.04,1.77,29.96
447,448,UD Ibiza,Spanish Segunda Division,0.93,1.62,29.87
448,449,Bastia,French Ligue 2,0.77,1.4,29.71
449,451,Ipswich Town,English League One,0.77,1.41,29.62
450,452,Caykur Rizespor,Turkish Turkcell Super Lig,1.12,1.9,29.59
451,453,Servette,Swiss Raiffeisen Super League,1.15,1.94,29.59
452,454,Wigan,English League One,1.01,1.75,29.45
453,455,Burgos,Spanish Segunda Division,0.73,1.37,29.39
454,456,Portsmouth,English League One,0.98,1.72,29.35
455,444,Haugesund,Norwegian Tippeligaen,1.14,1.96,29.21
456,457,HJK Helsinki,UEFA Europa Conference League,0.89,1.61,29.07
457,462,Aalesund,Norwegian Tippeligaen,0.94,1.69,29.01
458,458,Bolton,English League One,0.97,1.74,28.92
459,459,Peterborough United,English League Championship,1.02,1.81,28.92
460,460,Maccabi Haifa,UEFA Europa Conference League,0.79,1.48,28.84
461,463,SV Zulte Waregem,Belgian Jupiler League,1.13,1.97,28.56
462,461,Kalmar FF,Swedish Allsvenskan,0.89,1.64,28.5
463,464,SV Sandhausen,German 2. Bundesliga,0.96,1.75,28.46
464,465,Sydney FC,Australian A-League,1.1,1.95,28.38
465,467,Tampa Bay Rowdies,United Soccer League,0.99,1.8,28.33
466,470,Shimizu S-Pulse,Japanese J League,1.02,1.83,28.28
467,466,FC Arsenal Tula,Russian Premier Liga,0.94,1.72,28.27
468,490,Louisville City FC,United Soccer League,0.98,1.78,28.25
469,468,Asteras Tripolis,Greek Super League,0.76,1.47,28.15
470,469,SD Ponferradina,Spanish Segunda Division,0.94,1.74,28.1
471,475,Shonan Bellmare,Japanese J League,0.74,1.44,28.08
472,440,Gamba Osaka,Japanese J League,0.87,1.65,28.0
473,471,AD Alcorcon,Spanish Segunda Division,0.78,1.51,27.86
474,472,Giannina,Greek Super League,0.74,1.47,27.83
475,473,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,0.92,1.73,27.8
476,474,Le Havre,French Ligue 2,0.79,1.54,27.74
477,476,Barnsley,English League Championship,0.88,1.68,27.63
478,477,St Mirren,Scottish Premiership,0.72,1.44,27.61
479,478,Melbourne Victory,Australian A-League,0.99,1.84,27.59
480,479,Amorebieta,Spanish Segunda Division,0.81,1.57,27.57
481,481,Grenoble,French Ligue 2,0.67,1.37,27.53
482,500,Odd BK,Norwegian Tippeligaen,0.98,1.83,27.45
483,483,Arsenal Sarandi,Argentina Primera Division,0.78,1.54,27.44
484,484,Sporting Gijón,Spanish Segunda Division,0.71,1.44,27.36
485,485,OFI Crete,Greek Super League,0.88,1.69,27.35
486,486,Lugo,Spanish Segunda Division,0.77,1.54,27.28
487,487,Atlético Tucumán,Argentina Primera Division,0.87,1.69,27.11
488,482,San Antonio FC,United Soccer League,0.91,1.75,27.08
489,498,Mjallby,Swedish Allsvenskan,0.76,1.54,26.91
490,488,Altay,Turkish Turkcell Super Lig,0.83,1.66,26.84
491,489,Wycombe Wanderers,English League One,0.86,1.7,26.78
492,491,Dynamo Dresden,German 2. Bundesliga,0.88,1.73,26.75
493,492,Eupen,Belgian Jupiler League,0.93,1.82,26.48
494,493,Pau,French Ligue 2,0.86,1.72,26.47
495,494,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,0.84,1.69,26.39
496,510,Kyoto Purple Sanga,Japanese J League,0.79,1.62,26.34
497,495,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.01,1.95,26.25
498,497,Crotone,Italy Serie B,0.88,1.79,25.74
499,499,Dundee,Scottish Premiership,0.88,1.81,25.51
500,505,Sandefjord,Norwegian Tippeligaen,1.05,2.07,25.49
501,502,Vejle,Danish SAS-Ligaen,0.89,1.85,25.19
502,503,Niort,French Ligue 2,0.7,1.55,25.18
503,501,Hamarkamaratene,Norwegian Tippeligaen,0.83,1.75,25.13
504,504,Sonderjyske,Danish SAS-Ligaen,0.88,1.83,25.12
505,506,Tromso,Norwegian Tippeligaen,0.88,1.84,24.91
506,507,Rotherham United,English League One,0.68,1.55,24.82
507,508,Atromitos,Greek Super League,0.72,1.61,24.71
508,509,Málaga,Spanish Segunda Division,0.68,1.56,24.61
509,480,Jubilo Iwata,Japanese J League,0.81,1.78,24.43
510,511,Aldosivi,Argentina Primera Division,0.79,1.75,24.39
511,512,Real Sociedad II,Spanish Segunda Division,0.79,1.75,24.23
512,523,San Diego Loyal SC,United Soccer League,1.03,2.12,24.09
513,513,Valenciennes,French Ligue 2,0.69,1.61,23.9
514,514,Panetolikos,Greek Super League,0.67,1.59,23.85
515,515,FC Ingolstadt 04,German 2. Bundesliga,0.82,1.83,23.77
516,516,Western Sydney FC,Australian A-League,0.98,2.08,23.74
517,517,Western United,Australian A-League,0.91,1.96,23.73
518,518,Vicenza,Italy Serie B,0.7,1.65,23.66
519,519,Adelaide United,Australian A-League,0.9,1.96,23.54
520,520,St Johnstone,Scottish Premiership,0.63,1.55,23.4
521,527,IK Sirius,Swedish Allsvenskan,0.93,2.02,23.39
522,496,Consadole Sapporo,Japanese J League,0.88,1.95,23.36
523,521,Lausanne Sports,Swiss Raiffeisen Super League,0.99,2.12,23.3
524,522,Tianjin Teda,Chinese Super League,0.84,1.91,23.09
525,524,Central Coast Mariners,Australian A-League,1.0,2.16,22.97
526,525,Newcastle Jets,Australian A-League,0.93,2.06,22.94
527,526,Reggina,Italy Serie B,0.61,1.56,22.66
528,528,Fuenlabrada,Spanish Segunda Division,0.75,1.84,22.03
529,529,Rodez,French Ligue 2,0.56,1.52,22.0
530,532,Plymouth Argyle,English League One,0.65,1.7,21.62
531,534,Shanghai Greenland,Chinese Super League,0.9,2.12,21.53
532,531,Pittsburgh Riverhounds,United Soccer League,0.77,1.91,21.43
533,535,Kaizer Chiefs,South African ABSA Premier League,0.57,1.58,21.36
534,530,New Mexico United,United Soccer League,0.75,1.89,21.28
535,533,Colorado Springs Switchbacks FC,United Soccer League,0.85,2.07,21.05
536,537,RFC Seraing,Belgian Jupiler League,0.75,1.9,21.04
537,538,Cosenza,Italy Serie B,0.66,1.76,20.98
538,539,Alessandria,Italy Serie B,0.68,1.79,20.97
539,540,Henan Jianye,Chinese Super League,0.81,2.01,20.91
540,541,Goztepe,Turkish Turkcell Super Lig,0.94,2.22,20.88
541,542,Hebei China Fortune FC,Chinese Super League,0.85,2.08,20.88
542,543,El Paso Locomotive FC,United Soccer League,0.78,1.97,20.78
543,536,Kristiansund BK,Norwegian Tippeligaen,0.86,2.11,20.66
544,544,Orlando Pirates,South African ABSA Premier League,0.55,1.62,20.39
545,545,Lincoln City,English League One,0.72,1.93,20.11
546,546,Erzgebirge Aue,German 2. Bundesliga,0.81,2.07,20.11
547,547,Alashkert FC,UEFA Europa Conference League,0.55,1.65,19.93
548,548,Dalian Aerbin,Chinese Super League,0.86,2.17,19.9
549,549,Wuhan Zall,Chinese Super League,0.74,1.97,19.86
550,551,SuperSport United,South African ABSA Premier League,0.6,1.76,19.67
551,552,Brisbane Roar,Australian A-League,0.73,2.01,19.17
552,550,Memphis 901 FC,United Soccer League,0.73,2.01,19.15
553,553,Charlton Athletic,English League One,0.63,1.84,19.15
554,554,Bristol Rovers,English League Two,0.67,1.93,18.87
555,556,Black Aces,South African ABSA Premier League,0.48,1.6,18.69
556,557,Guangzhou RF,Chinese Super League,1.0,2.51,18.63
557,560,Arizona United,United Soccer League,0.91,2.37,18.6
558,558,US Quevilly,French Ligue 2,0.54,1.73,18.59
559,561,Sacramento Republic FC,United Soccer League,0.59,1.83,18.35
560,562,Macarthur FC,Australian A-League,0.85,2.28,18.34
561,563,Shrewsbury Town,English League One,0.54,1.75,18.31
562,564,Lamia,Greek Super League,0.4,1.5,18.16
563,569,Varbergs BoIS FC,Swedish Allsvenskan,0.63,1.93,18.04
564,565,Stellenbosch FC,South African ABSA Premier League,0.42,1.57,17.67
565,566,Pordenone Calcio,Italy Serie B,0.62,1.94,17.63
566,555,Birmingham Legion FC,United Soccer League,0.66,2.01,17.59
567,567,Chongqing Lifan,Chinese Super League,0.65,2.0,17.48
568,568,Yeni Malatyaspor,Turkish Turkcell Super Lig,0.61,1.95,17.18
569,570,Tianjin Quanujian,Chinese Super League,0.72,2.17,17.13
570,576,Miami FC,United Soccer League,0.62,1.99,17.01
571,571,Bloem Celtic,South African ABSA Premier League,0.6,1.95,17.0
572,572,AS Nancy Lorraine,French Ligue 2,0.68,2.12,16.89
573,573,Oakland Roots,United Soccer League,0.69,2.13,16.85
574,559,IFK Värnamo,Swedish Allsvenskan,0.56,1.89,16.76
575,574,Shenzhen FC,Chinese Super League,0.75,2.25,16.73
576,575,Swindon Town,English League Two,0.68,2.12,16.7
577,578,Cheltenham Town,English League One,0.8,2.37,16.37
578,577,Rio Grande Valley FC Toros,United Soccer League,0.57,1.96,16.23
579,579,Orange County SC,United Soccer League,0.61,2.07,16.02
580,580,Dunkerque,French Ligue 2,0.47,1.82,15.56
581,581,Wellington Phoenix,Australian A-League,0.73,2.37,15.16
582,582,Helsingborgs IF,Swedish Allsvenskan,0.57,2.07,15.1
583,583,Accrington Stanley,English League One,0.72,2.38,14.79
584,585,Golden Arrows,South African ABSA Premier League,0.46,1.91,14.53
585,586,Burton Albion,English League One,0.54,2.07,14.52
586,587,Mansfield Town,English League Two,0.56,2.12,14.3
587,588,Port Vale,English League Two,0.48,1.96,14.27
588,589,GIF Sundsvall,Swedish Allsvenskan,0.65,2.32,14.15
589,599,FK Jerv,Norwegian Tippeligaen,0.49,2.0,14.12
590,584,Degerfors IF,Swedish Allsvenskan,0.57,2.18,14.01
591,590,Fleetwood Town,English League One,0.63,2.28,14.0
592,591,Lincoln Red Imps,UEFA Europa Conference League,0.58,2.2,13.96
593,592,Cambridge United,English League One,0.54,2.13,13.95
594,593,Salford City,English League Two,0.48,2.01,13.74
595,594,AmaZulu,South African ABSA Premier League,0.25,1.58,13.11
596,595,Apollon Smyrni,Greek Super League,0.38,1.88,13.0
597,600,Detroit City FC,United Soccer League,0.49,2.13,12.96
598,596,Exeter City,English League Two,0.38,1.89,12.83
599,597,Northampton Town,English League Two,0.38,1.92,12.65
600,598,Hartford Athletic,United Soccer League,0.49,2.18,12.45
601,601,Sutton United,English League Two,0.47,2.18,12.05
602,602,Guizhou Renhe,Chinese Super League,0.51,2.26,11.96
603,604,Leyton Orient,English League Two,0.38,2.03,11.53
604,611,Tulsa Roughnecks,United Soccer League,0.52,2.35,11.41
605,605,LA Galaxy II,United Soccer League,0.55,2.42,11.4
606,606,Perth Glory,Australian A-League,0.5,2.32,11.36
607,607,Tranmere Rovers,English League Two,0.34,1.97,11.32
608,603,Indy Eleven,United Soccer League,0.46,2.23,11.27
609,608,Forest Green Rovers,English League Two,0.42,2.16,11.2
610,609,Tshakhuma Tsha Madzivhandila,South African ABSA Premier League,0.22,1.69,11.18
611,610,Maritzburg Utd,South African ABSA Premier League,0.25,1.77,11.15
612,612,Moroka Swallows,South African ABSA Premier League,0.32,1.97,10.94
613,613,Morecambe,English League One,0.54,2.45,10.9
614,614,Newport County,English League Two,0.4,2.19,10.64
615,615,Sekhukhune United,South African ABSA Premier League,0.2,1.71,10.53
616,616,Chippa United,South African ABSA Premier League,0.2,1.74,10.3
617,619,Monterey Bay,United Soccer League,0.42,2.34,9.8
618,617,Charleston Battery,United Soccer League,0.48,2.47,9.76
619,618,TS Galaxy,South African ABSA Premier League,0.2,1.8,9.74
620,620,Colchester United,English League Two,0.34,2.21,9.3
621,621,Doncaster Rovers,English League One,0.35,2.27,9.11
622,622,AFC Wimbledon,English League One,0.36,2.29,9.1
623,624,Bradford City,English League Two,0.28,2.12,8.76
624,625,Rochdale,English League Two,0.28,2.19,8.37
625,626,Gillingham,English League One,0.2,1.98,8.31
626,623,Las Vegas Lights FC,United Soccer League,0.32,2.32,8.22
627,627,Crawley Town,English League Two,0.34,2.38,8.19
628,628,Baroka FC,South African ABSA Premier League,0.2,2.03,8.0
629,634,Atlanta United 2,United Soccer League,0.51,2.92,7.35
630,629,Crewe Alexandra,English League One,0.27,2.33,7.3
631,630,Harrogate Town,English League Two,0.38,2.62,7.22
632,631,Walsall,English League Two,0.2,2.21,6.87
633,633,Barrow,English League Two,0.2,2.21,6.82
634,632,Loudoun United FC,United Soccer League,0.34,2.61,6.75
635,635,Carlisle United,English League Two,0.2,2.29,6.36
636,636,Stevenage,English League Two,0.2,2.38,5.91
637,637,Hartlepool,English League Two,0.2,2.43,5.68
638,638,Oldham Athletic,English League Two,0.24,2.66,5.18
639,639,New York Red Bulls II,United Soccer League,0.2,2.53,5.17
640,640,Scunthorpe,English League Two,0.2,3.21,2.88
